Payload,Signature,AttackType,Severity,MITRE,Label,Description
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<script>steal_patient_data()</script>,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<svg,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
<img,Healthcare XSS,Healthcare XSS,High,T1059.007,Malicious,Healthcare XSS targeting patient portals and medical records
